Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,1050.959961,1052.699951,1023.590027,1035.609985,1035.609985,1493300
2019-01-02,1016.570007,1052.319946,1015.710022,1045.849976,1045.849976,1532600
2019-01-03,1041.000000,1056.979980,1014.070007,1016.059998,1016.059998,1830600
2019-01-04,1032.589966,1070.839966,1027.417969,1070.709961,1070.709961,2093900
2019-01-07,1071.500000,1074.000000,1054.760010,1068.390015,1068.390015,1981900
2019-01-08,1076.109985,1084.560059,1060.530029,1076.280029,1076.280029,1764900
2019-01-09,1081.650024,1082.630005,1066.400024,1074.660034,1074.660034,1199300
2019-01-10,1067.660034,1071.150024,1057.709961,1070.329956,1070.329956,1456400
2019-01-11,1063.180054,1063.775024,1048.479980,1057.189941,1057.189941,1520800
2019-01-14,1046.920044,1051.530029,1041.255005,1044.689941,1044.689941,1144300
2019-01-15,1050.170044,1080.050049,1047.339966,1077.150024,1077.150024,1463600
2019-01-16,1080.000000,1092.375000,1079.339966,1080.969971,1080.969971,1331800
2019-01-17,1079.469971,1091.800049,1073.500000,1089.900024,1089.900024,1242700
2019-01-18,1100.000000,1108.352051,1090.900024,1098.260010,1098.260010,1955600
2019-01-22,1088.000000,1091.510010,1063.469971,1070.520020,1070.520020,1613500
2019-01-23,1077.349976,1084.930054,1059.750000,1075.569946,1075.569946,967000
2019-01-24,1076.479980,1079.474976,1060.699951,1073.900024,1073.900024,1361300
2019-01-25,1085.000000,1094.000000,1081.819946,1090.989990,1090.989990,1119100
2019-01-28,1080.109985,1083.000000,1063.800049,1070.079956,1070.079956,1284300
2019-01-29,1072.680054,1075.150024,1055.864990,1060.619995,1060.619995,1021800
2019-01-30,1068.430054,1091.000000,1066.849976,1089.060059,1089.060059,1279800
2019-01-31,1103.000000,1117.329956,1095.410034,1116.369995,1116.369995,1538300
2019-02-01,1112.400024,1125.000000,1104.890015,1110.750000,1110.750000,1462200
2019-02-04,1112.660034,1132.800049,1109.020020,1132.800049,1132.800049,2576500
2019-02-05,1124.839966,1146.849976,1117.248047,1145.989990,1145.989990,3552200
2019-02-06,1139.569946,1147.000000,1112.770020,1115.229980,1115.229980,2105600
2019-02-07,1104.160034,1104.839966,1086.000000,1098.709961,1098.709961,2044800
2019-02-08,1087.000000,1098.910034,1086.550049,1095.060059,1095.060059,1075800
2019-02-11,1096.949951,1105.944946,1092.859985,1095.010010,1095.010010,1065200
2019-02-12,1106.800049,1125.295044,1105.849976,1121.369995,1121.369995,1609100
2019-02-13,1124.989990,1134.729980,1118.500000,1120.160034,1120.160034,1049800
2019-02-14,1118.050049,1128.229980,1110.444946,1121.670044,1121.670044,947600
2019-02-15,1130.079956,1131.670044,1110.650024,1113.650024,1113.650024,1449800
2019-02-19,1110.000000,1121.890015,1110.000000,1118.560059,1118.560059,1046400
2019-02-20,1119.989990,1123.410034,1105.280029,1113.800049,1113.800049,1087800
2019-02-21,1110.839966,1111.939941,1092.520020,1096.969971,1096.969971,1415100
2019-02-22,1100.900024,1111.239990,1095.599976,1110.369995,1110.369995,1049500
2019-02-25,1116.000000,1118.540039,1107.270020,1109.400024,1109.400024,1413100
2019-02-26,1105.750000,1119.510010,1099.920044,1115.130005,1115.130005,1471300
2019-02-27,1106.949951,1117.979980,1101.000000,1116.050049,1116.050049,968400
2019-02-28,1111.300049,1127.650024,1111.010010,1119.920044,1119.920044,1542500
2019-03-01,1124.900024,1142.969971,1124.750000,1140.989990,1140.989990,1450300
2019-03-04,1146.989990,1158.280029,1130.689941,1147.800049,1147.800049,1446000
2019-03-05,1150.060059,1169.609985,1146.194946,1162.030029,1162.030029,1443200
2019-03-06,1162.489990,1167.566040,1155.489990,1157.859985,1157.859985,1099300
2019-03-07,1155.719971,1156.755005,1134.910034,1143.300049,1143.300049,1166100
2019-03-08,1126.729980,1147.079956,1123.300049,1142.319946,1142.319946,1212400
2019-03-11,1144.449951,1176.189941,1144.449951,1175.760010,1175.760010,1719200
2019-03-12,1178.260010,1200.000000,1178.260010,1193.199951,1193.199951,2013100
2019-03-13,1200.645020,1200.930054,1191.939941,1193.319946,1193.319946,1435900
2019-03-14,1194.510010,1197.880005,1184.479980,1185.550049,1185.550049,1172800
2019-03-15,1193.380005,1196.569946,1182.609985,1184.459961,1184.459961,2461800
2019-03-18,1183.300049,1190.000000,1177.421021,1184.260010,1184.260010,1292600
2019-03-19,1188.810059,1200.000000,1185.869995,1198.849976,1198.849976,1520700
2019-03-20,1197.349976,1227.140015,1196.170044,1223.969971,1223.969971,2227400
2019-03-21,1216.000000,1231.790039,1213.150024,1231.540039,1231.540039,1204000
2019-03-22,1226.319946,1230.000000,1202.824951,1205.500000,1205.500000,1714200
2019-03-25,1196.930054,1206.397949,1187.040039,1193.000000,1193.000000,1496800
2019-03-26,1198.530029,1202.829956,1176.719971,1184.619995,1184.619995,1901200
2019-03-27,1185.500000,1187.558960,1159.369995,1173.020020,1173.020020,1400200
2019-03-28,1171.540039,1171.564941,1159.431030,1168.489990,1168.489990,1012400
2019-03-29,1174.900024,1178.989990,1162.880005,1173.310059,1173.310059,1269900
2019-04-01,1184.099976,1196.660034,1182.000000,1194.430054,1194.430054,1252500
2019-04-02,1195.319946,1201.349976,1185.709961,1200.489990,1200.489990,827900
2019-04-03,1207.479980,1216.300049,1200.500000,1205.920044,1205.920044,1017800
2019-04-04,1205.939941,1215.670044,1204.130005,1215.000000,1215.000000,950000
2019-04-05,1214.989990,1216.219971,1205.030029,1207.150024,1207.150024,907200
2019-04-08,1207.890015,1208.689941,1199.859985,1203.839966,1203.839966,860200
2019-04-09,1196.000000,1202.290039,1193.079956,1197.250000,1197.250000,876400
2019-04-10,1200.680054,1203.785034,1196.435059,1202.160034,1202.160034,724600
2019-04-11,1203.959961,1207.959961,1200.130005,1204.619995,1204.619995,710200
2019-04-12,1210.000000,1218.349976,1208.109985,1217.869995,1217.869995,933400
2019-04-15,1218.000000,1224.199951,1209.109985,1221.099976,1221.099976,1187400
2019-04-16,1225.000000,1230.819946,1220.119995,1227.130005,1227.130005,856300
2019-04-17,1233.000000,1240.560059,1227.819946,1236.339966,1236.339966,1221900
2019-04-18,1239.180054,1242.000000,1234.609985,1236.369995,1236.369995,1331800
2019-04-22,1235.989990,1249.089966,1228.310059,1248.839966,1248.839966,807300
2019-04-23,1250.689941,1269.000000,1246.380005,1264.550049,1264.550049,1319900
2019-04-24,1264.119995,1268.010010,1255.000000,1256.000000,1256.000000,1018800
2019-04-25,1264.770020,1267.407959,1252.030029,1263.449951,1263.449951,1107300
2019-04-26,1269.000000,1273.069946,1260.319946,1272.180054,1272.180054,1241400
2019-04-29,1274.000000,1289.270020,1266.295044,1287.579956,1287.579956,2499400
2019-04-30,1185.000000,1192.810059,1175.000000,1188.479980,1188.479980,6207000
2019-05-01,1188.050049,1188.050049,1167.180054,1168.079956,1168.079956,2639200
